subject,Average,Aya 23 8B,Gemma 2 9B,Llama 3 8B,Mistral 7B v0.3,Phi 3 3.8B,Qwen 2 7B
Total,44.97,38.7,55.2,48.2,41.8,36,49.9
IPS,62.92,57.5,82.5,65,55,55,62.5
PPKN,60.42,47.5,72.5,75,55,52.5,60
IPA,60,50,72.5,67.5,42.5,45,82.5
Bahasa Indonesia,58.33,55,70,65,40,55,65
Kesenian,56.25,67.5,62.5,45,60,35,67.5
Agama Kristen,53.75,52.5,62.5,65,50,30,62.5
Agama Islam,52.08,47.5,62.5,67.5,37.5,40,57.5
Agama Hindu,51.25,42.5,50,60,50,45,60
Ekonomi,51.25,42.5,70,52.5,42.5,45,55
Sejarah,48.33,42.5,62.5,65,37.5,32.5,50
Penjaskes,47.08,37.5,52.5,52.5,55,27.5,57.5
Budaya Alam Minangkabau,45.42,37.5,55,52.5,45,35,47.5
Sosiologi,44.17,42.5,52.5,42.5,52.5,20,55
Fisika,44.17,32.5,65,40,40,42.5,45
Biologi,43.33,27.5,47.5,52.5,47.5,37.5,47.5
Bahasa Sunda,43.33,30,60,52.5,42.5,27.5,47.5
Bahasa Banjar,42.92,42.5,55,32.5,47.5,35,45
Bahasa Bali,36.25,32.5,37.5,32.5,35,40,40
Geografi,35.83,27.5,50,35,25,32.5,45
Bahasa Lampung,35.83,32.5,42.5,40,40,35,25
Kimia,34.58,27.5,40,45,35,22.5,37.5
Bahasa Makassar,31.25,27.5,37.5,22.5,30,37.5,32.5
Bahasa Dayak Ngaju,28.75,32.5,30,17.5,22.5,30,40
Bahasa Madura,28.75,17.5,40,27.5,35,22.5,30
Bahasa Jawa,27.92,15,47.5,32.5,22.5,20,30
